Notation,Raag,Aaroh_Avaroh,LyricalNote,Sequence,Absolute Sequence
n,Malkauns,Avaroh,n,2,23
d,Malkauns,Avaroh,d,3,21
M,Malkauns,Avaroh,m,4,18
g,Malkauns,Avaroh,g,5,16
S,Malkauns,Avaroh,S,100,13
S,Charukeshi,Aaroh,S,1,13
R,Charukeshi,Aaroh,R,2,15
G,Charukeshi,Aaroh,G,3,17
M,Charukeshi,Aaroh,m,4,18
P,Charukeshi,Aaroh,P,5,20
d,Charukeshi,Aaroh,d,6,21
n,Charukeshi,Aaroh,n,7,23
?,Charukeshi,Aaroh,S',100,25
?,Charukeshi,Avaroh,S',1,25
n,Charukeshi,Avaroh,n,2,23
d,Charukeshi,Avaroh,d,3,21
P,Charukeshi,Avaroh,P,4,20
M,Charukeshi,Avaroh,m,5,18
G,Charukeshi,Avaroh,G,6,17
R,Charukeshi,Avaroh,R,7,15
S,Charukeshi,Avaroh,S,100,13
S,Bihag,Aaroh,S,1,13
G,Bihag,Aaroh,G,2,17
M,Bihag,Aaroh,m,3,18
P,Bihag,Aaroh,P,4,20
N,Bihag,Aaroh,N,5,24
?,Bihag,Aaroh,S',100,25
?,Bihag,Avaroh,S',1,25
N,Bihag,Avaroh,N,2,24
D,Bihag,Avaroh,D,3,22
P,Bihag,Avaroh,P,4,20
?,Bihag,Avaroh,M,5,19
G,Bihag,Avaroh,G,6,17
M,Bihag,Avaroh,m,7,18
G,Bihag,Avaroh,G,8,17
R,Bihag,Avaroh,R,9,15
S,Bihag,Avaroh,S,100,13
n,Bhimpalasi,Aaroh,n.,1,23
S,Bhimpalasi,Aaroh,S,2,13
g,Bhimpalasi,Aaroh,g,3,16
M,Bhimpalasi,Aaroh,m,4,18
P,Bhimpalasi,Aaroh,P,5,20
n,Bhimpalasi,Aaroh,n,6,23
?,Bhimpalasi,Aaroh,S',100,25
?,Bhimpalasi,Avaroh,S',1,25
n,Bhimpalasi,Avaroh,n,2,23
D,Bhimpalasi,Avaroh,D,3,22
P,Bhimpalasi,Avaroh,P,4,20
M,Bhimpalasi,Avaroh,m,5,18
g,Bhimpalasi,Avaroh,g,6,16
R,Bhimpalasi,Avaroh,R,7,15
S,Bhimpalasi,Avaroh,S,100,13
S,Todi,Aaroh,S,1,13
r,Todi,Aaroh,r,2,14
g,Todi,Aaroh,g,3,16
?,Todi,Aaroh,M,4,19
P,Todi,Aaroh,P,5,20
d,Todi,Aaroh,d,6,21
N,Todi,Aaroh,N,7,24
?,Todi,Aaroh,S',100,25
?,Todi,Avaroh,S',1,25
N,Todi,Avaroh,N,2,24
d,Todi,Avaroh,d,3,21
P,Todi,Avaroh,P,4,20
?,Todi,Avaroh,M,5,19
g,Todi,Avaroh,g,6,16
r,Todi,Avaroh,r,7,14
S,Todi,Avaroh,S,100,13
S,Keerwani,Aaroh,S,1,13
R,Keerwani,Aaroh,R,2,15
g,Keerwani,Aaroh,g,3,16
M,Keerwani,Aaroh,m,4,18
P,Keerwani,Aaroh,P,5,20
d,Keerwani,Aaroh,d,6,21
N,Keerwani,Aaroh,N,7,24
?,Keerwani,Aaroh,S',100,25
?,Keerwani,Avaroh,S',1,25
N,Keerwani,Avaroh,N,2,24
d,Keerwani,Avaroh,d,3,21
P,Keerwani,Avaroh,P,4,20
M,Keerwani,Avaroh,m,5,18
g,Keerwani,Avaroh,g,6,16
R,Keerwani,Avaroh,R,7,15
S,Keerwani,Avaroh,S,100,13
S,AhirBhairav,Aaroh,S,1,13
r,AhirBhairav,Aaroh,r,2,14
G,AhirBhairav,Aaroh,G,3,17
M,AhirBhairav,Aaroh,m,4,18
P,AhirBhairav,Aaroh,P,5,20
D,AhirBhairav,Aaroh,D,6,22
n,AhirBhairav,Aaroh,n,7,23
?,AhirBhairav,Aaroh,S',100,25
?,AhirBhairav,Avaroh,S',1,25
n,AhirBhairav,Avaroh,n,2,23
D,AhirBhairav,Avaroh,D,3,22
P,AhirBhairav,Avaroh,P,4,20
M,AhirBhairav,Avaroh,m,5,18
G,AhirBhairav,Avaroh,G,6,17
r,AhirBhairav,Avaroh,r,7,14
S,AhirBhairav,Avaroh,S,100,13
S,Rageshree,Aaroh,S,1,13
G,Rageshree,Aaroh,G,2,17
M,Rageshree,Aaroh,m,3,18
D,Rageshree,Aaroh,D,4,22
n,Rageshree,Aaroh,n,5,23
?,Rageshree,Aaroh,S',100,25
?,Rageshree,Avaroh,S',1,25
n,Rageshree,Avaroh,n,2,23
D,Rageshree,Avaroh,D,3,22
M,Rageshree,Avaroh,m,4,18
G,Rageshree,Avaroh,G,5,17
M,Rageshree,Avaroh,m,6,18
R,Rageshree,Avaroh,R,7,15
S,Rageshree,Avaroh,S,100,13
